expected_speed,predicted_speed,angle,error
31.4,31.207500000000017,0.552,-8
31.279999999999994,31.30499999999998,0.0,-7
31.080000000000002,30.6975,1.104,-15
30.82,30.192500000000003,1.6560000000000001,-20
30.619999999999997,30.0925,1.104,-19
30.240000000000002,29.53999999999998,22.08,-27
29.72,28.93250000000001,22.08,-33
29.24,28.325000000000006,22.08,-39
28.98,28.775000000000013,2.208,-33
28.46,27.770000000000003,22.08,-45
28.119999999999997,27.612500000000004,22.08,-44
27.860000000000003,27.445,22.08,-46
27.639999999999997,27.1375,22.08,-50
27.28,26.952499999999997,22.08,-51
27.339999999999996,27.709999999999987,22.08,-42
27.360000000000003,27.712500000000013,22.08,-43
27.419999999999998,27.70500000000002,22.08,-43
27.5,27.497500000000002,22.08,-46
27.640000000000004,27.63250000000001,22.08,-44
27.619999999999997,27.700000000000017,22.08,-43
27.68,27.902500000000003,22.08,-40
27.8,28.187499999999982,22.08,-37
28.040000000000003,28.487499999999994,22.08,-34
28.339999999999996,28.922500000000003,2.208,-29
28.660000000000004,29.209999999999987,2.208,-27
29.080000000000002,29.829999999999995,0.552,-19
29.5,30.262500000000006,1.104,-16
29.860000000000003,30.385,1.104,-16
30.1,30.332499999999982,1.104,-17
30.360000000000003,30.534999999999997,0.552,-14
30.380000000000003,30.245000000000015,1.6560000000000001,-18
30.32,30.140000000000004,1.6560000000000001,-19
30.26,30.105,1.6560000000000001,-19
30.18,29.965000000000003,1.6560000000000001,-21
30.04,29.909999999999997,1.6560000000000001,-21
29.959999999999997,29.832499999999982,1.6560000000000001,-22
29.860000000000003,29.669999999999995,2.208,-24
29.76,29.610000000000003,1.6560000000000001,-24
29.68,29.532500000000006,2.208,-25
29.560000000000002,29.369999999999983,2.208,-27
29.5,29.5125,1.6560000000000001,-25
29.419999999999998,29.257500000000014,2.208,-28
29.379999999999995,29.4275,1.6560000000000001,-26
29.32,29.215000000000014,2.208,-28
29.26,29.070000000000004,22.08,-30
29.139999999999997,28.942499999999995,22.08,-31
29.1,28.9875,2.208,-30
29.04,29.107500000000005,2.208,-29
29.1,29.365000000000002,1.6560000000000001,-25
29.240000000000002,29.615000000000016,1.6560000000000001,-23
29.46,29.892500000000005,1.104,-20
29.7,30.120000000000015,1.104,-18
